Brand Name,Address,latitude,longitude,charging type,charging port,cost per unit,payment type
Revos,"House No. 71B, Block A, Krishan Vihar, Opp. Budh Vihar",28.7047008730012,77.0850871503353,Charging,1,10,E-Wallet/Card/UPI
EFILL,"Police Station, B-80, Maya Puri Industrial Area Phase-1, Behind Maya Puri, New Delhi- 110064",28.6260376,77.1221717,Charging,1,15,"Debit Card, Credit Card, BHIM/UPI, NetBanking, Wallet"
Smart E,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
TPDDL,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Osho E Rickshaw Charging Point Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Paramount Autoworld Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Kumkum Electric India Pvt Ltd Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Vivaan Enterprises Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Sharma Travel Agents Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Ashirwad Inverter &amp; Battery Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Inder Jha Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Jai Mata Battery Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
GHS Electronics Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Ambika E Rickshaw Charging Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
WeVolt Technologies LLP FO Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Mahadev E Rickshaw Trading Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Future Sounds Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Ali Jan E Rickshaw Parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Khanna Charging Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Shree balaji - E rickshaw charging and parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Sahiba Motors Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Target One Innovation Pvt. Ltd Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Virat Parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Dwarka Field Office Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Sai Ram Automobiles Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Satya Enterprises Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
